,name,categories,lat,lng,id,Stadtbezirk,Stadtteil
87,Buchhandlung Decius,Bookstore,52.37114,9.736962,4c5675f92308be9afb03576c,Mitte,Mitte
88,SFU - Sachen Für Unterwegs,Sporting Goods Shop,52.373828254300875,9.734764986670747,4da6b42d4b22cb9c5c136cff,Mitte,Mitte
89,Wonder Waffel,Dessert Shop,52.376826,9.736774,5814ae5bd67c397387d3359e,Mitte,Mitte
90,Balzac Coffee,Coffee Shop,52.371111910090676,9.736538102498189,4b73ed04f964a5205cc02de3,Mitte,Mitte
91,Cafe Lucas,Café,52.36933483108503,9.750685554039688,4d207b995acaa35d7a2cc835,Mitte,Mitte
92,Amici Miei,Italian Restaurant,52.38024744730372,9.744213024235492,4c6c22746af58cfa11ed8517,Mitte,Mitte
93,Rossmann,Drugstore,52.37761831903886,9.742332171902515,528b8f70498ec85f24e2bff0,Mitte,Mitte
94,REWE,Supermarket,52.37724465207579,9.739237196625822,4dd7b62fae60680f150cde98,Mitte,Mitte
95,Back-Factory,Bakery,52.37740501331761,9.742119967789323,4ba72d72f964a520798439e3,Mitte,Mitte
96,EDEKA Wucherpfennig,Supermarket,52.38143317,9.75396139,4b487bb8f964a520054e26e3,Mitte,Mitte
97,Sonnenspielplatz,Playground,52.380950012042945,9.757672548294067,4c80f444d92ea093a5fe3b72,Mitte,Mitte
98,Tiffany's,Italian Restaurant,52.376281,9.753276,4bb330fe2397b7136ec837b3,Mitte,Mitte
99,Vapiano,Italian Restaurant,52.374390847286016,9.73512974694793,505ea7ee7ab4aa8c17b024b0,Mitte,Mitte
100,Teestübchen,Tea Room,52.372593,9.732367,4b76bcf8f964a520b55b2ee3,Mitte,Calenberger Neustadt
101,Craft Bier Bar,Beer Bar,52.372299,9.732284,56043370498e8dec23a0584f,Mitte,Calenberger Neustadt
102,The Harp,Irish Pub,52.36794183537129,9.720851182937622,4c23aee4b7b8a593f5403be8,Mitte,Calenberger Neustadt
103,Leibnizhaus,Student Center,52.371459529960454,9.73233640193939,4e04abf562e1b12875a98d26,Mitte,Calenberger Neustadt
104,Trattoria Piu,Trattoria/Osteria,52.37410907954568,9.727503061294556,4d76ca406675236a50bea4b2,Mitte,Calenberger Neustadt
105,hof:geflüster,Café,52.3724110987739,9.732027681810935,558841a5498e9629ee260343,Mitte,Calenberger Neustadt
106,Ballhof Zwei,Theater,52.37283836360928,9.733355641365051,51226ed4e4b078ac9af0d3e7,Mitte,Calenberger Neustadt
107,Pfannkuchenhaus,Pub,52.370018,9.727002,4c72ba3313228cfaa7d72b65,Mitte,Calenberger Neustadt
108,Curry Culum,Fast Food Restaurant,52.37137604597419,9.723296332458089,4dda2bc21838b8561d296f5e,Mitte,Calenberger Neustadt
109,Altstadt,Neighborhood,52.37188739893889,9.73391000946924,51965dd2498ebc044193b84b,Mitte,Calenberger Neustadt
110,bona‘me,Kurdish Restaurant,52.373443,9.730111,5d518ce24f05f80008b3e74f,Mitte,Calenberger Neustadt
111,Capitol,Music Venue,52.36834205275971,9.720443487167358,4b559fb5f964a52082e927e3,Mitte,Calenberger Neustadt
112,Markthalle,Food Court,52.370370540057436,9.736171734667163,4b33316df964a5200a1825e3,Mitte,Calenberger Neustadt
113,Kilimanjaro,African Restaurant,52.37268788581014,9.733609218462211,52754d04498e009007bfc474,Mitte,Calenberger Neustadt
114,Hochhaus-Lichtspiele,Indie Movie Theater,52.37700440392415,9.732024570076993,4ce2b67269136dcb3c1cf1e6,Mitte,Calenberger Neustadt
